text,category,plant,genus,species,plant_group,category_int,plant_group_int
"Florida maple has not been included as an associate in any of the published descriptions of forest cover types. It is often ranked as a major component of the understory stand, however (1). Associated overstory species include sweetgum (Liquidambar styraciflua), willow oak ( Quercus phellos), cherrybark oak (Q. falcata var. pagodifolia), winged elm (Ulmus alata), red maple (Acer rubrum), yellow-poplar (Liriodendron tulipifera), ash (Fraxinus spp.), water oak (Quercus nigra), and sugarberry (Celtis laevigata). Understory associates include American elm (Ulmus americana), dogwood (Cornus florida), possumhaw (hex decidua), winged elm, American hornbeam (Carpinus caroliniana), eastern redcedar (Juniperus virginiana), red mulberry (Morus rubra), northern red oak (Quercus rubra), pignut hickory (Carya glabra), and white ash (Fraxinus americana). In Florida, associates are basswood (Tilia caroliniana), sweetgum, cabbage palmetto (Sabal palmetto), water oak, willow oak, southern red oak (Quercus falcata var. falcata), and loblolly pine (Pinus taeda). Spruce pine (P glabra) is an associate in Alabama (6).",Associated Forest Cover,Acer barbatum Michx.,acer,barbatum,hardwood,1,0
"Across the range of Florida maple, average annual rainfall varies from about 1120 to 1630 mm (44 to 64 in). Precipitation is well distributed, with the driest months averaging no less than 50 mm (2 in). January normal daily temperatures across the species range vary from 11° to 18° C (52° to 64° F) maximum, and from -2° to 7° C (28° to 45° F) minimum. July normal highs are 29° to 33° C (84° to 91° F), and lows are 21° to 24° C (70° to 75° F). The average frost-free season is approximately 20° to 27° days (11).",Climate,Acer barbatum Michx.,acer,barbatum,hardwood,2,0
"There has been considerable confusion in the classification of Florida maple as a species distinct from sugar maple, and in the field, Florida maple is probably often confused with other maples (9). Florida maple has been variously recognized among authorities as southern sugar maple (Acer floridanum) and as a sugar maple variety (Acer saccharum var. floridanum). However; the distinction between (northern) sugar maple and Florida maple is based on the latter's smaller leaves with short, acute lobes, smaller samaras, andnd a more whitish bark (12). Numerous intergrades between the two species have been found in east Texas and in the zone from Maryland south to northern Florida (although Maryland is not included in the range of A. barbatum). It appears that genes of both taxa are present in this intermediate population from Mary land to Florida and limited gene exchange is still occurring where one or the other taxon comes in contact with the intermediates (7). The literature contains no specific information about Florida maple hybrids, but in view of its close association with sugar maple, and the intergrades between the two species already mentioned, it is not unlikely that hybridization between the two species may occur.",Genetics,Acer barbatum Michx.,acer,barbatum,hardwood,7,0
"Native Range The range of Florida maple (fig. 1) is discontinuous in the Piedmont and Coastal Plain from southeastern Virginia southwest across North and South Carolina and Georgia, into the Florida Panhandle. The range continues west across Alabama, Mississippi, Louisiana, into eastern Texas, and north across Arkansas into eastern Oklahoma. The species is also found in isolated spots halfway down the Gulf Coast of the Florida peninsula and at one location in central Oklahoma (8). -The native range of Florida maple.",Habitat,Acer barbatum Michx.,acer,barbatum,hardwood,8,0
"Reproduction and Early Growth Flowering and Fruiting- Florida maple is polygamo-dioecious. Flowers are small and are borne on long, puberulent pedicels in yellowish-green corymbs (12). They appear as small clusters at the ends of branches and mature in the early spring, before or with the leaves (3,13), usually in late March and April, about 2 weeks before sugar maple in the same vicinity. The fruit is a winged, green to reddish, double samara, smaller than that of sugar maple, and matures in early summer. There are no seed test records for Florida maple on file at the National Tree Seed Laboratory at Macon, GA (5). Seed Production and Dissemination- Florida maple has not been managed as a commercial timber species and no published reports of seed production, dissemination, or experience in forest or nursery regeneration are available. The method of propagating Florida maple from seed is similar to that for sugar maple (12). Germination is epigeal (10). Reproduction of Florida maple has been described as erratic and scattered, occurring singly and in small groups (9). Seedling Development- No information available. Vegetative Reproduction- No information available.",Life History,Acer barbatum Michx.,acer,barbatum,hardwood,10,0
"Growth and Yield- Because Florida maple (fig. 2) is primarily an understory tree, it is usually smaller and more spreading than sugar maple. A bottomland forest near Durham, NC, contained 23.5 percent Florida maple stems in the understory and 1.4 percent in the overstory (1). Recent inventories by the Southeastern Forest Experiment Station (2) show that in the five southeastern States, Virginia, North Carolina, South Carolina, Georgia, and Florida, 91 percent of the Florida maple trees on commercial forest land are smaller than 13 cm (5 in) in d.b.h., and only 1 percent are 28 cm (11 in) in d.b.h. and larger. Total inventory of commercial Florida maple trees 13 cm (5 in) d.b.h. and larger in the 5-State area is 1,702,000 m³ (60,134,000 ft³) and of this volume 60 percent is in Georgia and Florida. Florida maple has a ""medium"" growth rate, meaning that dominant and codominant trees on better sites average 5 to 8 cm (2 to 3 in) of diameter growth over a 10-year period (9). A composite of reports indicates that a mature Florida maple in the overstory may average 61 cm (24 in) in d.b.h. and 12.2 to 18.3 m (40 to 60 ft) in total height. Rooting Habit- No information available. Reaction to Competition- Florida maple is tolerant of shade (9). There are no reports of how Florida maple responds to release or other silvicultural treatments. Damaging Agents- Florida maple suffers no special damage problems (9), and perhaps it can be assumed that generally the same insects and diseases that attack sugar maple also attack Florida maple, because the two species are so similar (10). Special Uses Although Florida maple is not managed as a commercial species, it is used with associated commercial species for pulpwood, sawtimber, and veneer stock. It is included in the hard maple group and better trees may be used for furniture, flooring, paneling, and shoe lasts (12), although its scarcity, small size, and poor form limit it to occasional use for factory and box lumber (9). It has found considerable use in urban forestry as an ornamental or shade tree. Florida maple is a limited source of maple syrup.",Sapling and Pole Stages to Maturity,Acer barbatum Michx.,acer,barbatum,hardwood,14,0
"Florida maple grows on fertile, moist but well-welldraineddrained soils on stream terraces, in coves, and on adjacent bluffs and ridgetops. It usually grows best on soils underlain by calcareous material such as limestone or marl. It also grows well on the Florida hammocks. Soils commonly are found in the orders Inceptisols, Entisols, and Ultisols.",Soils and Topography,Acer barbatum Michx.,acer,barbatum,hardwood,15,0
"Characteristic trees, shrubs, and herbs associated with bigleaf maple in five portions of its native range are listed in table 2. Douglas-fir, Pacific madrone, Pacific dogwood, swordfern, and prince's-pine grow with bigleaf maple in most environments. Bigleaf maple communities often present on moist sites include willow-black cottonwood-bigleaf maple and red alder-bigleaf maple/salmonberry. The bigleaf maple/snowberry (Symphoricarpos albus) community is found on dry sites (5). Bigleaf maple is present but is not a dominant species in several other plant communities-western hemlock/western swordfern/ Oregon oxalis and Douglas-fir/oceanspray (western Washington and Oregon), Sitka spruce/devilsclubstink currant (Ribes bracteosum) (British Columbia), and white fir/Oregongrape (California), for example. Bigleaf maple is present in the following forest cover types (3): Red Alder (Society of American Foresters Type 221), Black Cottonwood-Willow (222), Sitka Spruce (223), Western Hemlock-Sitka Spruce (225), Pacific Douglas-Fir (229), Douglas-Fir- Western Hemlock (230), Port-Orford-cedar (231), Redwood (232), Oregon White Oak (233), Douglas-Fir-Tanoak-Pacific Madrone (234), Pacific Ponderosa Pine-Douglas-Fir (244), and Pacific Ponderosa Pine (245). Bigleaf maple supports several epiphytic plants in moist climates. This support is particularly evident in the ""rain forest"" on the west side of the Olympic Peninsula, where epiphytes weigh nearly four times as much as the leaves of host bigleaf maples (19). Some of those maples, heavily laden with rain-soaked epiphytes, are more susceptible to windthrow than trees with less luxuriant epiphytic growth (32). A club moss (Selaginella oregana) and the mosses Hylocomium splendens, Leucolepis menziesii, Isothecium stoloniferum, and Neckera menziesii are the most abundant epiphyte species, but lichens (Cladonia, Nephroma, and Crocynia spp.) and the licorice fern (Polypodiuni glycyrrhiza) are also common (5,32).",Associated Forest Cover,Acer macrophyllum Pursh,acer,macrophyllum,hardwood,1,0
"Bigleaf maple grows over a wide range of temperature and moisture conditions, from the cool, moist, marine climate of coastal British Columbia to the warm, dry, growing seasons of southern California (table 1). Springs, streams, and other permanent sources of water are often associated with bigleaf maple in southern California, but it also grows on eastern and northern slopes in California where more than 600 mm (24 in) of annual rainfall occurs (15). It receives abundant moisture in the coastal redwood region of northern California (36). Bigleaf maple is not, however, limited to moist sites in southwestern Oregon, where it is found from moist stream bottoms to dry hillsides. Nocturnal moisture stresses of more than 2.0 M Pa (20 bars) have been recorded on some of those hillsides in southwestern Oregon. This maple also grows on hot, dry sites in the central-western Cascade Range in Oregon and does not seem to be limited by moisture deficiencies there (40). Moisture deficiencies seldom occur in western valleys of the Olympic Peninsula or in coastal British Columbia (25,32). Temperature probably limits the northern distribution of bigleaf maple (29). Table 1- Climatic variation in northern and southern portions of the native range of bigleaf maple",Climate,Acer macrophyllum Pursh,acer,macrophyllum,hardwood,2,0
"The native range of bigleaf maple extends from latitude 33°to 51° N., always within 300 km (186 mi) of the Pacific Ocean. This maple is not found in southeastern Alaska or on the Queen Charlotte Islands (34), but it does grow on Vancouver Island at least as far north as Port Hardy (25). On the mainland, the range is a continuous belt from near Sullivan Bay, BC, to within 16 km (10 mi) of San Francisco Bay, CA-a belt that includes the western slopes of the Coast Ranges of British Columbia, the Olympic Peninsula in Washington, the Coast Ranges of Oregon and California, and the western slopes of the Cascade Range in Oregon and Washington. The species is less common south of San Francisco Bay, but extensive stands are found in the Santa Cruz and Santa Lucia Mountains. Isolated groves are scattered along the southern California coast to San Diego County. Bigleaf maple is common on the western slopes of the Sierra Nevada north of the Yuba River and is present in less abundance as far south as Sequoia National Park (11). Most of the estimated volume of standing sawtimber is found in Washington (about 19.6 million m³ or 3.43 billion fbm) and Oregon (about 18.0 million m³ or 3.16 billion fbm). Almost half this timber is in Lewis and Whatcom Counties in Washington and Douglas and Lane Counties in Oregon (17). The estimated 1.1 million m³ (200 million fbm) of bigleaf maple in British Columbia is found on the south coast and Vancouver Island (16). -The native range of bigleaf maple.",Native Range,Acer macrophyllum Pursh,acer,macrophyllum,hardwood,11,0
