text,category,plant,genus,species,plant_group,category_int
"""Herbie"" was an American elm tree located in  Yarmouth, Maine, United States. It stood by present-day East Main Street (State Route 88), at its intersection with Yankee Drive, for 217 years (from 1793 to January 19, 2010). At 110 feet in height, it was, between 1997 and the date of its felling, the oldest and largest of its kind in New England. The tree, which partially stood in the front yard of a private residence, also had a 20-foot circumference and (until mid-2008) a 93-foot crown spread. It was so-named when children witnessed some of its diseased limbs being sawn off. ""What are you going to do to Herbie? Don't cut Herbie!"" they cried, and the name stuck.
A plaque on its trunk stated:

On May 1, 1834, the town gave Herbie some company by planting rows of elm trees along East Elm Street. From 1957 onward, however, most of them succumbed to Dutch elm disease. As of 2003, only twenty of Yarmouth's original 739 elms had survived.After battling fifteen bouts of Dutch elm disease, in 2007, stripes appeared under the tree's bark, indicating a worsening condition. In August 2009, it was revealed that Herbie would be cut down on January 18 and 19, 2010, at a cost of $20,000. In October 2009, the plaque was removed from its trunk and replaced with a laminated version, and before the end of the year, ""The Herbie Project"" fund-raising campaign was set up to raise money to care for and plant other trees in the town. After the tree's demise, local woodworkers used its wood to make products which will be auctioned off to raise money for the trust.A snowstorm during the night of January 17–18, 2010 postponed the removal. The tree was removed on January 19. A preliminary count of the tree's rings, done on site, revealed its age to be at least 212 years. On February 4, however, the official count showed it to be 217. The stump was removed over the weekend of May 29 and 30.
A section of the trunk's base was on show at the 2010 Yarmouth Clam Festival. It is now on permanent display outside Yarmouth town hall, on Cleaves Street, a project of the local Eagle Scouts.
Frank Knight, the town's former ""tree warden"", died at the age of 103 on May 14, 2012. Knight's casket was made, in secret, out of Herbie's wood. Succeeded by Deb Hopkins in 2006, Knight cared for the tree for half of his life, having accepted the role in 1956. Knight's efforts were recognized by the town: the athletic fields at North Yarmouth Academy bear his name, as does a forest behind the town's community garden; a tree in front of Yarmouth's town hall was planted in his honor; and, in 1983, he was the fourth recipient of the town's Latchstring Award.

",Summary,Herbie (tree),,,,17
"""Trichocarpa"" is Greek for ""hairy fruits"". These scientific names are now considered synonymous with P. trichocarpa:",Taxonomy,,Populus,trichocarpa,,18
"A 2003 study by J. Ness showed that when a hawkmoth caterpillar Ceratomia catalpae started eating the leaves of C. bignonoides, the leaves produced extra nectar. The nectar in turn attracted a greater number of bodyguard ants Forelius pruinosus to the damaged leaves, thus giving added protection to the whole plant. This is an example of a tree exhibiting a symbiotic relationship with nearby insects.",Threats,,Catalpa,bignonioides,,19
A black pigment is extracted from the bark and fruit.,Special Uses,,Vachellia,farnesiana,,16
"A large evergreen tree, specimens mature up to 200 ft (61 m) tall or more, with trunks 4–7 ft (1.2–2 m) in diameter, exceptionally 8–9 ft (2.4–2.7 m). The bark is silver-brown, vertically furrowed, and 6–10 inches (15–25 cm) thick near the base. The foliage is arranged in lacy, flat sprays with a feathery appearance, usually somewhat glaucous (i.e. blue-green) in color. The leaves are scale-like, 1⁄8–3⁄16 inch (3–5 mm) long, with narrow white markings on the underside, and produced on somewhat flattened shoots. The foliage gives off a rather pungent scent, not unlike parsley. The seed cones are globose, 9⁄32–9⁄16 inch (7–14 mm) in diameter, with 6–10 scales, green at first, maturing brown in early fall, 6–8 months after pollination. The male cones are 1⁄8–5⁄32 inch (3–4 mm) long, dark red, turning brown after pollen release in early spring. The seeds fall quickly and can float on water.Old specimens lack branches near the base and often have dead tops. They can live up to about 600 years of age.",Description,,Chamaecyparis,lawsoniana,,5
"A large mature tree can produce commercial timber used for furniture and crates. The swollen base of the Nyssa aquatica is the source of a favored wood of wood carvers.
Many kinds of wildlife eat the fruit, and it is a favored honey tree.",Special Uses,,Nyssa,aquatica,,16
"A large number of common names are used for this tree, including ""Virginia live oak"", ""bay live oak"", ""scrub live oak"", ""plateau oak"", ""plateau live oak"", ""escarpment live oak"", and (in Spanish) ""roble"". It is also often just called ""live oak"" within its native area, but the full name ""southern live oak"" helps to distinguish it from other live oaks, a general term for any evergreen species of oak.This profusion of common names partly reflects an ongoing controversy about the classification of various live oaks, in particular its near relatives among the white oaks (Quercus subgenus Quercus, section Quercus). Some authors recognize as distinct species the forms others consider to be varieties of Quercus virginiana. Notably, the following two taxa, treated as species in the Flora of North America, are treated as varieties of southern live oak by the United States Forest Service: the escarpment live oak, Quercus fusiformis (Q. virginiana var. fusiformis) and
the sand live oak, Quercus geminata (Q. virginiana var. geminata).
Matters are further complicated by southern live oaks hybridizing with both of the above two species, and also with the dwarf live oak (Q. minima), swamp white oak (Q. bicolor), Durand oak (Q. durandii), overcup oak (Q. lyrata), bur oak (Q. macrocarpa), and post oak (Q. stellata).",Taxonomy,,Quercus,virginiana,,18
"A majority of shinnery oak occurs on private land used for agriculture and/or livestock production. It is considered undesirable on grazing lands, because it competes with better livestock forage and its buds and leaves are toxic to cattle for several weeks in spring. In addition, where cotton is grown near shinnery oak, boll weevils overwinter in the oak litter and infest nearby cotton fields in spring.  Thus, most research and other human effort concerning shinnery oak have been devoted to its eradication.
The use of chemical and mechanical control methods has been extensive, making it likely that shinnery oak's distribution is decreasing.  Most authorities do not recommend complete eradication of shinnery oak, indicating that forage production is typically greater if some shinnery oak remains in the community.  Stocking rates and rotational grazing patterns exist that reduce the incidence of shinnery oak poisoning of cattle.  Excessive control of shinnery oak is controversial because it can open sandy soils to wind erosion and can conflict with wildlife-habitat quality.Shinnery oak sprouts prolifically from rhizomes soon after fire.  Researchers described the communities as ""extremely fire hardy"".",Conservation,,Quercus,havardii,,3
"A member of the Aceraceae (maple) family, Acer leucoderme can be most easily differentiated from its closest cousin, Acer floridanum (Florida maple or Southern sugar maple), by its leaves and size.  The leaves of the chalk maple are generally smaller, 5-8 cm across, with 3 to 5 lobes, whereas the leaves of the Florida maple are larger, up to 11 cm.  The leaves of A. leucoderme are yellow-green underneath rather than the whitish underside of Florida maple.  The lobes on the leaves of Florida maple are squarer and blunter than those of A. leucoderme. The chalk maple grows up to 9 m in height, though often appears with a more shrub-like presentation, whereas the Florida maple grows from 15 to 25 m  Both varieties share similar gray and white bark, though A. floridanum bark tends to curl up more around the edges.  Both provide a bright orange to red leaf display in the fall. Both trees retain their dry leaves in winter.",Population Differences,,Acer,leucoderme,,12
"A mix of Quercus robur fastigiata x Quercus bicolor, named 'Nadler' or the Kindred Spirit hybrid oak, exists.",Hybrids,,Quercus,bicolor,,9
"A number of cultivars have been selected for garden use, including Goldcrest, with yellow-green, semi-juvenile foliage (with spreading scale-leaf tips) and Lutea with yellow-green foliage. Goldcrest has gained the Royal Horticultural Society's Award of Garden Merit (confirmed 2017).Monterey cypress is one of the parents of the fast-growing cultivated hybrid Leyland cypress, Cupressus × Leylandii, the other parent being Nootka cypress, Callitropsis nootkatensis.Cupressus macrocarpa cultivars grown in New Zealand are:
'Aurea Saligna'—long cascades of weeping, golden-yellow, thread-like foliage on a pyramidal tree
'Brunniana Aurea'—pillar or conical form with soft rich-golden foliage
'Gold Rocket'—narrow erect form with golden colouring, slow-growing
'Golden Pillar'—compact conical tree with dense yellow shoots and foliage
'Greenstead Magnificent'—dwarf form with blue-green foliage
'Lambertiana Aurea'—hardy upright form tolerating poor soil and climate conditions",Hybrids,,Cupressus,macrocarpa,,9
"A russet dye can be made from a decoction of the bark, apparently due to the tannin it contains, and was used by Native Americans to dye fishing nets so as to make them less visible underwater.",Special Uses,,Alnus,rubra,,16
"A small evergreen conifer (sometimes appearing as a shrub), the Pacific yew grows to 10–15 m (33–49 ft) tall and with a trunk up to 50 centimetres (20 in) diameter, rarely more. In some instances, trees with heights in excess of 20 m (66 ft) occur in parks and other protected areas, quite often in gullies. The tree is extremely slow growing, and has a habit of rotting from the inside, creating hollow forms. This makes it difficult and sometimes impossible to make accurate ring counts to determine a specimen's true age. Often damaged by succession of the forest, it usually ends up in a squat, multiple-leader form, able to grow new sprouts from decapitated stumps. In its shrub form, sometimes called ""yew brush"", it can reproduce vegetatively via layering.It has thin, scaly bark, red then purplish-brown, covering a thin layer of off-white sap wood with a darker heartwood that varies in color from brown to a purplish hue to deep red, or even bright orange when freshly cut. The leaves are lanceolate, flat, dark green, 1–3 cm (3⁄8–1+3⁄16 in) long and 2–3 millimetres (3⁄32–1⁄8 in) broad, arranged spirally on the stem, but with the leaf bases twisted to align the leaves in two flat rows either side of the stem except on erect leading shoots where the spiral arrangement is more obvious.
The seed cones are highly modified, each cone containing a single seed 4–7 mm (3⁄16–1⁄4 in) long partly surrounded by a modified scale which develops into a soft, bright red berry-like structure called an aril, 8–15 mm (5⁄16–9⁄16 in) long and wide and open at the end. The arils are mature 6–9 months after pollination. The seeds contained in the arils are eaten by thrushes and other birds, which disperse the hard seeds undamaged in their droppings; maturation of the arils is spread over 2–3 months, increasing the chances of successful seed dispersal. The male cones are globose, 3–6 mm (1⁄8–1⁄4 in) diameter, and shed their pollen in early spring. It is mostly dioecious, but occasional individuals can be variably monoecious, or change sex with time.",Description,,Taxus,brevifolia,,5
"A specimen located in the White Mountains of California was measured by Tom Harlan, a researcher with the Laboratory of Tree-Ring Research, to be 5,062 years old as of 2010. This would make it the oldest known non-clonal tree in the world. The identity of the specimen was kept secret by Harlan. Harlan passed away in 2013, and neither the tree nor the core Harlan studied have been found, making the age or existence of this tree unable to be confirmed.The confirmed oldest tree of this species, ""Methuselah"", is also located in the Ancient Bristlecone Pine Forest of the White Mountains. Methuselah is 4,854 years old, as measured by annual ring count on a small core taken with an increment borer. Its exact location is kept secret.Among the White Mountain specimens, the oldest trees are found on north-facing slopes, with an average of 2,000 years, as compared to the 1,000 year average on the southern slopes. The climate and the durability of their wood can preserve them long after death, with dead trees as old as 7,000 years persisting next to live ones.",Sapling and Pole Stages to Maturity,,Pinus,longaeva,,14
"A tree usually 15–18 meters (50–60 feet) high, maximum height 100 ft, with broad pyramidal head when young, becoming in old age broad-topped and open. Trunk up to 1 m (40 inches) in diameter (rarely 1.4 m or 56 in). It reaches its largest size in southern Illinois and Indiana, although the national champion is 104' by 68' in Cincinnati, Ohio.

Bark: Light brown, scaly; on young stems light brown, smooth.  Branchlets slender, dark green and shining at first, later become light brown, finally dark brown.
Wood: Pale reddish brown, sapwood lighter; heavy, hard coarse-grained, checks badly in drying; used for shingles and sometimes in construction.  Sp. gr., 0.7529; weight of cu. ft., 46.92 lbs.
Winter buds: Light brown, ovate, acute, one-eight inch long.
Leaves: Alternate, oblong or obovate, four to six inches long, one to two inches wide, wedge-shaped or rounded at base, acute or rounded at apex, sometimes entire or with undulated margins, sometimes more or less three-lobed.  They come out of the bud involute, bright red, covered with rusty down above and white tomentum below.  When full grown are dark green, smooth and shining above, pale green or pale brown, downy below; midribs stout yellow, grooved above, primary veins slender.  In autumn they become dark red above, pale beneath, midribs darken, then the leaf.  Petioles stout, hairy, flattened, grooved.  Stipules about one-half inch long, caducous.
Flowers: May, when leaves are half grown.  Staminate flowers borne on tomentose aments two to three inches long.  Bracts linear-lanceoate.  Calyx pale yellow, downy, four-lobed; stamens four to five; anthers yellow.  Pistillate flowers borne on slender tomentose peduncles.  Involucres scales are downy, about as long as the calyx lobes; stigmas short, reflexed, greenish-yellow.
Acorns: Ripen in autumn of second year, about 18 months after pollination. Stalked, solitary or in pairs; nut almost spherical, 9–18 millimeters or 1⁄2 to 2⁄3 in long; cup embraces one-half to two-thirds nut, is cup-shaped covered with light red brown, downy scales, rounded or acute at apex. Kernel very bitter.It is distinguished from most other oaks by its leaves, which are shaped like laurel leaves, 8–20 cm (4–10 in) long and 1.5–7.5 cm (1⁄2–3 in) broad with an untoothed margin; they are bright green above, paler and somewhat downy beneath.",Description,,Quercus,imbricaria,,5
A yellow dye was once made from the bark and leaves. The bark was used as a tonic by early American settlers.,Special Uses,,Symplocos,tinctoria,,16
"A. alnifolia is susceptible to cedar-apple rust, entomosporium leaf spot, fireblight, brown rot, cytospora canker, powdery mildew, and blackleaf. Problem insects include aphids, thrips, mites, bud moths, Saskatoon sawflies, and pear slug sawflies. It is also a larval host to the pale tiger swallowtail, two-tailed swallowtail, and the western tiger swallowtail.The foliage is browsed by deer, elk, rabbits, and livestock. The fruit are eaten by wildlife including birds, squirrels, and bears.",Ecology,,Amelanchier,alnifolia,,6
"A. procera is a large evergreen conifer with a narrow conic crown, growing up to 70 meters (230 ft) tall and 2 m (6 ft 7 in) in trunk diameter, rarely to 90 m (295 ft) tall and 2.7 m (8 ft 10 in) thick. The bark on young trees is smooth and gray with resin blisters, becoming red-brown, rough and fissured on old trees, usually less than 5 centimeters (2 in) thick; the inner bark is reddish. The leaves are needle-like, 1–3.5 cm (1⁄2–1+1⁄2 in) long, glaucous blue-green above and below with strong stomal bands, and a blunt to notched tip. They are arranged spirally on the shoot, but twisted slightly S-shaped to be upcurved above the shoot. The cones are erect, 11–22 cm (4+1⁄4–8+3⁄4 in) long and 6 cm (2+1⁄4 in) thick, with the purple scales almost completely hidden by the long exserted yellow-green bract scales; they ripen brown and disintegrate to release the winged seeds in fall. Viable seeds are only produced every few years.The species can grow for up to 200 years.",Description,,Abies,procera,,5
"A. tetramera grows based on the resources available. The time it takes to flower is correlated with fruit development. More growth and more flowers occur after a disturbance like a wildfire. Best growth occurs when there is a burn the prior spring. Evidence suggests cutting the stem may also promote growth instead of burning. The seeds of A. tetramera have a high oil content in the endosperm. Seed viability is best in new seeds. Old seeds have low viability due to oil loss. After 1–8 months, seedlings appear. The root system develops before the appearance of seedlings. Most seedlings emerge from September through March.",Reproduction and Early Growth,,Asimina,tetramera,,13
"A. tetramera is fire adapted and grows at a faster rate when it is in a recently burned environment. Wildfires burn the taller plant canopy that typically shades the A. tetramera. After burning, the plant regenerates at an increased growth rate. This allows for numerous flowers and fruits to grow. The plant’s growth rate declines over time as the taller plants take up canopy space again. A. tetramera relies on natural fires which allow the plant to access sunlight. Fire suppression in its habitat has reduced the number of A. tetramera.",Sapling and Pole Stages to Maturity,,Asimina,tetramera,,14
"A. tetramera is found exclusively in coastal dune sand pine scrub habitat. Sand pine scrub is defined by dispersed sand pines and patchy openings. Other associated plant taxa include scrub oaks (Quercus myrtifolia, Q. geminata, Q. chapmanii), saw palmetto, rusty lyonia, and other species of shrub. A. tetramera occurs only along the Atlantic Coastal Ridge complex in the excessively-drained quartz sand of the paola classification. The sand pine scrub ecosystem is mediated by frequent fires that historically created disturbance every 10–50 years. These disturbances enhance the structure and complexity of the system for several years by creating gaps in the canopy for colonization of different vegetation types.A. tetramera is a shade intolerant understory plant. It occurs in varying levels of canopy, but it thrives in habitat where it has the most access to light.  A. tetramera is easily outcompeted by larger sand pine and oak trees and even saw palmetto shrubs which are less likely to be shaded out. The presence of these frequent fires indicates better quality habitat for A. tetramera even if individuals have remained in a vegetative state for many years. Too much fire, however, can reduce the cover vegetation that is home to rodents which help disperse the seeds.",Habitat,,Asimina,tetramera,,8
"A. triloba is a large shrub or small tree growing to a height of 35 ft (11 m), rarely as tall as 45 ft (14 m), with trunks 8–12 in (20–30 cm) or more in diameter. The large leaves of pawpaw trees are clustered symmetrically at the ends of the branches, giving a distinctive imbricated appearance to the tree's foliage.The leaves of the species are simple, alternate and spirally arranged, entire, deciduous, obovate-lanceolate, 10–12 in (25–30 cm) long, 4–5 in (10–13 cm) broad, and wedge-shaped at the base, with an acute apex and an entire margin, with the midrib and primary veins prominent. The petioles are short and stout, with a prominent adaxial groove. Stipules are lacking. The expanding leaves are conduplicate, green, covered with rusty tomentum beneath, and hairy above; when fully grown they are smooth, dark green above, and paler beneath. When bruised, the leaves have a disagreeable odor similar to a green bell pepper. In autumn, the leaves are a rusty yellow, allowing pawpaw groves to be spotted from a long distance.Pawpaw flowers are perfect, about 1–2 in (3–5 cm) across, rich red-purple or maroon when mature, with three sepals and six petals. They are borne singly on stout, hairy, axillary peduncles. The flowers are produced in early spring at the same time as or slightly before the new leaves appear, and have a faint fetid or yeasty smell.The fruit of the pawpaw is a large, yellowish-green to brown berry, 2–6 in (5–15 cm) long and 1–3 in (3–8 cm) broad, weighing from 0.7–18 oz (20–510 g), containing several brown or black seeds 1⁄2–1 in (15–25 mm) in diameter embedded in the soft, edible fruit pulp. The conspicuous fruits begin developing after the plants flower; they are initially green, maturing by September or October to yellow or brown. When mature, the heavy fruits bend the weak branches down.Other characteristics:

Calyx: Sepals three, valvate in bud, ovate, acuminate, pale green, downy
Corolla: Petals six, in two rows, imbricate in the bud; inner row acute, erect, nectariferous; outer row broadly ovate, reflexed at maturity; petals at first are green, then brown, and finally become dull purple or maroon and conspicuously veiny
Stamens: Indefinite, densely packed on the globular receptacle; filaments short; anthers extrorse, two-celled, opening longitudinally
Pollen: Shed as permanent tetrads
Pistils: Several, on the summit of the receptacle, projecting from the mass of stamens; ovary one-celled; stigma sessile; ovules many
Branchlets: Light brown, tinged with red, marked by shallow grooves
Winter buds: Small, of two kinds, the leaf buds pointed and closely appressed to the twigs, and the flower buds round, brown, and fuzzy
Bark: Light gray, sometimes blotched with lighter gray spots, sometimes covered with small excrescences, divided by shallow fissures; inner bark tough, fibrous; bark with a very disagreeable odor when bruised
Wood: Pale, greenish yellow, sapwood lighter; light, soft, coarse-grained and spongy with a specific gravity of  0.3969 and a density of 24.74 pounds per cubic foot (396.3 kg/m3)
Longevity of fruit production: Undetermined",Description,,Asimina,triloba,,5
"Abies amabilis, commonly known as the Pacific silver fir, is a fir native to the Pacific Northwest of North America, occurring in the Pacific Coast Ranges and the Cascade Range. It is also commonly referred to as the white fir, red fir, lovely fir, Amabilis fir, Cascades fir, or silver fir. The species name is Latin for 'lovely'.",Summary,,Abies,amabilis,,17
"Abies balsamea or balsam fir is a North American fir, native to most of eastern and central Canada (Newfoundland west to central Alberta) and the northeastern United States (Minnesota east to Maine, and south in the Appalachian Mountains to West Virginia).

",Summary,,Abies,balsamea,,17
"Abies bracteata, the Santa Lucia fir or bristlecone fir, is the rarest and most endemic fir in North America, and according to some, the world. It is confined to steep-sided slopes and the bottoms of rocky canyons in the Santa Lucia Mountains, in the Big Sur region on the central coast of California, United States.

",Summary,,Abies,bracteata,,17
"Abies concolor, the white fir, is a coniferous tree in the pine family Pinaceae. This tree is native to the mountains of western North America, including the Cascade Range and southern Rocky Mountains, and into the isolated mountain ranges of southern Arizona, New Mexico, and Northern Mexico. It naturally occurs at elevations between 900–3,400 metres (3,000–11,200 ft).
It is popular as an ornamental landscaping tree and as a Christmas tree.",Summary,,Abies,concolor,,17
"Abies grandis (grand fir, giant fir, lowland white fir, great silver fir, western white fir, Vancouver fir, or Oregon fir) is a fir native to the Pacific Northwest and Northern California of North America, occurring at altitudes of sea level to 1,700 metres (5,600 ft). It is a major constituent of the Grand Fir/Douglas Fir Ecoregion of the Cascade Range.
The tree typically grows to 40–70 m (130–230 ft) in height, and may be the tallest Abies species in the world. There are two varieties, the taller coast grand fir, found west of the Cascade Mountains, and the shorter interior grand fir, found east of the Cascades. It was first described in 1831 by David Douglas.It is closely related to white fir. The bark was historically believed to have medicinal properties, and it is popular in the United States as a Christmas tree. Its lumber is a softwood, and it is harvested as a hem fir. It is used in paper-making, as well as construction for framing and flooring, where it is desired for its resistance to splitting and splintering.",Summary,,Abies,grandis,,17
"Abies grandis is a large evergreen conifer growing to 40–70 metres (130–230 feet) tall, exceptionally 100 m (330 ft), with a trunk diameter of up to 2 m (6 ft 7 in). The dead tree tops sometimes fork into new growth. The bark is 5 centimetres (2 inches) thick, reddish to gray (but purple within), furrowed, and divided into slender plates. The leaves are needle-like, flattened, 3–6 cm (1+1⁄8–2+3⁄8 in) long and 2 millimetres (3⁄32 in) wide by 0.5 mm thick, glossy dark green above, with two green-white bands of stomata below, and slightly notched at the tip. The leaf arrangement is spiral on the shoot, but with each leaf variably twisted at the base so they all lie in two more-or-less flat ranks on either side of the shoot. On the lower leaf surface, two green-white bands of stomata are prominent. The base of each leaf is twisted a variable amount so that the leaves are nearly coplanar.

The green-to-reddish cones are 6–12 cm (2+1⁄4–4+3⁄4 in) long and 3.5–4.5 cm (1+1⁄2–1+3⁄4 in) broad, with about 100–150 scales; the scale bracts are short, and hidden in the closed cone. The winged seeds are released when the cones disintegrate at maturity about 6 months after pollination.",Description,,Abies,grandis,,5
"Abies lasiocarpa is a medium-sized evergreen conifer with a very narrow conic crown, growing to 20 metres (66 ft) tall, exceptionally 40–50 m (130–160 ft), with a trunk up to 1 m (3 ft 3 in) thick, exceptionally 2.1 m (6 ft 11 in). The bark on young trees is smooth, gray, and with resin blisters, becoming rough and fissured or scaly on old trees. The lowest branches can be observed growing 1 m (3 ft 3 in) above ground level. The leaves are flat and needle-like, 1.5–3 centimetres (5⁄8–1+1⁄8 in) long, glaucous green above with a broad stripe of stomata, and two blue-white stomatal bands below; the fresh leaf scars are reddish (tan on the inland variety). They are arranged spirally on the shoot, but with the leaf bases twisted to be arranged to the sides of and above the shoot, with few or none below the shoot. The cones are erect, 6–12 cm (2+1⁄4–4+3⁄4 in) long, dark purple with fine yellow-brown pubescence, ripening brown and disintegrating to release the winged seeds in early fall.",Description,,Abies,lasiocarpa,,5
"Abies lasiocarpa, the subalpine fir or Rocky Mountain fir, is a western North American fir tree.",Summary,,Abies,lasiocarpa,,17
"Abies magnifica is a large evergreen tree typically up to 40–60 metres (130–200 ft) tall and 2 m (6 ft 7 in) trunk diameter, rarely to 76.5 m (251 ft) tall and 3 m (9 ft 10 in) diameter, with a narrow conic crown. The bark on young trees is smooth, grey, and has resin blisters, becoming orange-red, rough and fissured on old trees. The leaves are needle-like, 2–3.5 centimetres (3⁄4–1+1⁄2 in) long, glaucous blue-green above and below with strong stomatal bands, and an acute tip. They are arranged spirally on the shoot, but twisted slightly S-shaped to be upcurved above the shoot.
The cones are erect, 9–21 cm (3+1⁄2–8+1⁄4 in) long, yellow-green (occasionally purple), ripening brown and disintegrating to release the winged seeds in fall.",Description,,Abies,magnifica,,5
"Abies magnifica, the red fir or silvertip fir, is a western North American fir, native to the mountains of southwest Oregon and California in the United States. It is a high-elevation tree, typically occurring at 1,400–2,700 metres (4,600–8,900 ft) elevation, though only rarely reaching tree line. The name red fir derives from the bark color of old trees.",Summary,,Abies,magnifica,,17
"Abies procera, the noble fir, also called red fir and Christmas tree, is a species of fir native to the Cascade Range and Pacific Coast Ranges of the northwestern Pacific Coast of the United States. It occurs at altitudes of 300–1,500 meters (980–4,920 ft).

",Summary,,Abies,procera,,17
"Acacia farnesiana var. guanacastensis is primarily distinguished by larger leaflets. It remains controversial; most taxonomic authorities in Mexico and Central America recognise this taxon as a full species under either A. guanacastensis or Vachellia guanacastensis, the Árboles nativos e introduciados de El Salvador of 2009 subsumed it under Acacia farnesiana. It is recognised as present in Costa Rica, El Salvador, Guatemala, Nicaragua, and the southern Gulf and southwestern regions of Mexico by the Kew World Checklist of Selected Plant Families (2018), but whether the taxon as recognised by the different authorities replaces Acacia farnesiana in Central America (but not the Caribbean or South America) or exists sympatrically remains unclear. This has implications for the classification of the extra-American distribution of A. farnesiana as the populations growing in Australia and the Philippines have recently (2017) been shown to derive from ancient Central American origins.
Acacia pinetorum, the pineland acacia or pineland wattle, is also disputed. The International Legume Database and Information Service continues to recognise A. pinetorum, while the U.S. Department of Agriculture recognises V. farnesiana var. pinetorum.In France, two old cultivars have been developed for the perfume industry. These were also recognised as varieties at one time.",Population Differences,,Vachellia,farnesiana,,12
