,sent,category,plant,genus,species,plant_group,category_int
0,"""Herbie"" was an American elm tree located in  Yarmouth, Maine, United States.",Summary,Herbie (tree),,,,17
1,"It stood by present-day East Main Street (State Route 88), at its intersection with Yankee Drive, for 217 years (from 1793 to January 19, 2010).",Summary,Herbie (tree),,,,17
2,"At 110 feet in height, it was, between 1997 and the date of its felling, the oldest and largest of its kind in New England.",Summary,Herbie (tree),,,,17
3,"The tree, which partially stood in the front yard of a private residence, also had a 20-foot circumference and (until mid-2008) a 93-foot crown spread.",Summary,Herbie (tree),,,,17
4,It was so-named when children witnessed some of its diseased limbs being sawn off.,Summary,Herbie (tree),,,,17
5,"""What are you going to do to Herbie?",Summary,Herbie (tree),,,,17
6,"Don't cut Herbie!""",Summary,Herbie (tree),,,,17
7,"they cried, and the name stuck.
",Summary,Herbie (tree),,,,17
8,"A plaque on its trunk stated:

On May 1, 1834, the town gave Herbie some company by planting rows of elm trees along East Elm Street.",Summary,Herbie (tree),,,,17
9,"From 1957 onward, however, most of them succumbed to Dutch elm disease.",Summary,Herbie (tree),,,,17
10,"As of 2003, only twenty of Yarmouth's original 739 elms had survived.",Summary,Herbie (tree),,,,17
11,"After battling fifteen bouts of Dutch elm disease, in 2007, stripes appeared under the tree's bark, indicating a worsening condition.",Summary,Herbie (tree),,,,17
12,"In August 2009, it was revealed that Herbie would be cut down on January 18 and 19, 2010, at a cost of $20,000.",Summary,Herbie (tree),,,,17
13,"In October 2009, the plaque was removed from its trunk and replaced with a laminated version, and before the end of the year, ""The Herbie Project"" fund-raising campaign was set up to raise money to care for and plant other trees in the town.",Summary,Herbie (tree),,,,17
14,"After the tree's demise, local woodworkers used its wood to make products which will be auctioned off to raise money for the trust.",Summary,Herbie (tree),,,,17
15,"A snowstorm during the night of January 17–18, 2010 postponed the removal.",Summary,Herbie (tree),,,,17
16,The tree was removed on January 19.,Summary,Herbie (tree),,,,17
17,"A preliminary count of the tree's rings, done on site, revealed its age to be at least 212 years.",Summary,Herbie (tree),,,,17
18,"On February 4, however, the official count showed it to be 217.",Summary,Herbie (tree),,,,17
19,"The stump was removed over the weekend of May 29 and 30.
",Summary,Herbie (tree),,,,17
20,A section of the trunk's base was on show at the 2010 Yarmouth Clam Festival.,Summary,Herbie (tree),,,,17
21,"It is now on permanent display outside Yarmouth town hall, on Cleaves Street, a project of the local Eagle Scouts.
",Summary,Herbie (tree),,,,17
22,"Frank Knight, the town's former ""tree warden"", died at the age of 103 on May 14, 2012.",Summary,Herbie (tree),,,,17
23,"Knight's casket was made, in secret, out of Herbie's wood.",Summary,Herbie (tree),,,,17
24,"Succeeded by Deb Hopkins in 2006, Knight cared for the tree for half of his life, having accepted the role in 1956.",Summary,Herbie (tree),,,,17
25,"Knight's efforts were recognized by the town: the athletic fields at North Yarmouth Academy bear his name, as does a forest behind the town's community garden; a tree in front of Yarmouth's town hall was planted in his honor; and, in 1983, he was the fourth recipient of the town's Latchstring Award.

",Summary,Herbie (tree),,,,17
26,"""Trichocarpa"" is Greek for ""hairy fruits"".",Taxonomy,,Populus,trichocarpa,,18
27,These scientific names are now considered synonymous with P. trichocarpa:,Taxonomy,,Populus,trichocarpa,,18
28,"A 2003 study by J. Ness showed that when a hawkmoth caterpillar Ceratomia catalpae started eating the leaves of C. bignonoides, the leaves produced extra nectar.",Threats,,Catalpa,bignonioides,,19
29,"The nectar in turn attracted a greater number of bodyguard ants Forelius pruinosus to the damaged leaves, thus giving added protection to the whole plant.",Threats,,Catalpa,bignonioides,,19
30,This is an example of a tree exhibiting a symbiotic relationship with nearby insects.,Threats,,Catalpa,bignonioides,,19
31,A black pigment is extracted from the bark and fruit.,Special Uses,,Vachellia,farnesiana,,16
32,"A large evergreen tree, specimens mature up to 200 ft (61 m) tall or more, with trunks 4–7 ft (1.2–2 m) in diameter, exceptionally 8–9 ft (2.4–2.7 m).",Description,,Chamaecyparis,lawsoniana,,5
33,"The bark is silver-brown, vertically furrowed, and 6–10 inches (15–25 cm) thick near the base.",Description,,Chamaecyparis,lawsoniana,,5
34,"The foliage is arranged in lacy, flat sprays with a feathery appearance, usually somewhat glaucous (i.e. blue-green) in color.",Description,,Chamaecyparis,lawsoniana,,5
35,"The leaves are scale-like, 1⁄8–3⁄16 inch (3–5 mm) long, with narrow white markings on the underside, and produced on somewhat flattened shoots.",Description,,Chamaecyparis,lawsoniana,,5
36,"The foliage gives off a rather pungent scent, not unlike parsley.",Description,,Chamaecyparis,lawsoniana,,5
37,"The seed cones are globose, 9⁄32–9⁄16 inch (7–14 mm) in diameter, with 6–10 scales, green at first, maturing brown in early fall, 6–8 months after pollination.",Description,,Chamaecyparis,lawsoniana,,5
38,"The male cones are 1⁄8–5⁄32 inch (3–4 mm) long, dark red, turning brown after pollen release in early spring.",Description,,Chamaecyparis,lawsoniana,,5
39,The seeds fall quickly and can float on water.,Description,,Chamaecyparis,lawsoniana,,5
40,Old specimens lack branches near the base and often have dead tops.,Description,,Chamaecyparis,lawsoniana,,5
41,They can live up to about 600 years of age.,Description,,Chamaecyparis,lawsoniana,,5
42,A large mature tree can produce commercial timber used for furniture and crates.,Special Uses,,Nyssa,aquatica,,16
43,"The swollen base of the Nyssa aquatica is the source of a favored wood of wood carvers.
",Special Uses,,Nyssa,aquatica,,16
44,"Many kinds of wildlife eat the fruit, and it is a favored honey tree.",Special Uses,,Nyssa,aquatica,,16
45,"A large number of common names are used for this tree, including ""Virginia live oak"", ""bay live oak"", ""scrub live oak"", ""plateau oak"", ""plateau live oak"", ""escarpment live oak"", and (in Spanish) ""roble"".",Taxonomy,,Quercus,virginiana,,18
46,"It is also often just called ""live oak"" within its native area, but the full name ""southern live oak"" helps to distinguish it from other live oaks, a general term for any evergreen species of oak.",Taxonomy,,Quercus,virginiana,,18
47,"This profusion of common names partly reflects an ongoing controversy about the classification of various live oaks, in particular its near relatives among the white oaks (Quercus subgenus Quercus, section Quercus).",Taxonomy,,Quercus,virginiana,,18
48,Some authors recognize as distinct species the forms others consider to be varieties of Quercus virginiana.,Taxonomy,,Quercus,virginiana,,18
49,"Notably, the following two taxa, treated as species in the Flora of North America, are treated as varieties of southern live oak by the United States Forest Service: the escarpment live oak, Quercus fusiformis (Q. virginiana var.",Taxonomy,,Quercus,virginiana,,18
50,"fusiformis) and
the sand live oak, Quercus geminata (Q. virginiana var.",Taxonomy,,Quercus,virginiana,,18
51,"geminata).
",Taxonomy,,Quercus,virginiana,,18
52,"Matters are further complicated by southern live oaks hybridizing with both of the above two species, and also with the dwarf live oak (Q. minima), swamp white oak (Q. bicolor), Durand oak (Q. durandii), overcup oak (Q. lyrata), bur oak (Q. macrocarpa), and post oak (Q. stellata).",Taxonomy,,Quercus,virginiana,,18
53,A majority of shinnery oak occurs on private land used for agriculture and/or livestock production.,Conservation,,Quercus,havardii,,3
54,"It is considered undesirable on grazing lands, because it competes with better livestock forage and its buds and leaves are toxic to cattle for several weeks in spring.",Conservation,,Quercus,havardii,,3
55,"In addition, where cotton is grown near shinnery oak, boll weevils overwinter in the oak litter and infest nearby cotton fields in spring.  ",Conservation,,Quercus,havardii,,3
56,"Thus, most research and other human effort concerning shinnery oak have been devoted to its eradication.
",Conservation,,Quercus,havardii,,3
57,"The use of chemical and mechanical control methods has been extensive, making it likely that shinnery oak's distribution is decreasing.  ",Conservation,,Quercus,havardii,,3
58,"Most authorities do not recommend complete eradication of shinnery oak, indicating that forage production is typically greater if some shinnery oak remains in the community.  ",Conservation,,Quercus,havardii,,3
59,Stocking rates and rotational grazing patterns exist that reduce the incidence of shinnery oak poisoning of cattle.  ,Conservation,,Quercus,havardii,,3
60,Excessive control of shinnery oak is controversial because it can open sandy soils to wind erosion and can conflict with wildlife-habitat quality.,Conservation,,Quercus,havardii,,3
61,Shinnery oak sprouts prolifically from rhizomes soon after fire.  ,Conservation,,Quercus,havardii,,3
62,"Researchers described the communities as ""extremely fire hardy"".",Conservation,,Quercus,havardii,,3
63,"A member of the Aceraceae (maple) family, Acer leucoderme can be most easily differentiated from its closest cousin, Acer floridanum (Florida maple or Southern sugar maple), by its leaves and size.  ",Population Differences,,Acer,leucoderme,,12
64,"The leaves of the chalk maple are generally smaller, 5-8 cm across, with 3 to 5 lobes, whereas the leaves of the Florida maple are larger, up to 11 cm.  ",Population Differences,,Acer,leucoderme,,12
65,The leaves of A. leucoderme are yellow-green underneath rather than the whitish underside of Florida maple.  ,Population Differences,,Acer,leucoderme,,12
66,The lobes on the leaves of Florida maple are squarer and blunter than those of A. leucoderme.,Population Differences,,Acer,leucoderme,,12
67,"The chalk maple grows up to 9 m in height, though often appears with a more shrub-like presentation, whereas the Florida maple grows from 15 to 25 m  Both varieties share similar gray and white bark, though A. floridanum bark tends to curl up more around the edges.  ",Population Differences,,Acer,leucoderme,,12
68,Both provide a bright orange to red leaf display in the fall.,Population Differences,,Acer,leucoderme,,12
69,Both trees retain their dry leaves in winter.,Population Differences,,Acer,leucoderme,,12
70,"A mix of Quercus robur fastigiata x Quercus bicolor, named 'Nadler' or the Kindred Spirit hybrid oak, exists.",Hybrids,,Quercus,bicolor,,9
71,"A number of cultivars have been selected for garden use, including Goldcrest, with yellow-green, semi-juvenile foliage (with spreading scale-leaf tips) and Lutea with yellow-green foliage.",Hybrids,,Cupressus,macrocarpa,,9
