,file,solver,penalty,num_categories,max_features,test_set,test_f1_macro
0,silvics_edited_data.csv,liblinear,l2,10,1000,0.5,0.8571830757153972
1,silvics_edited_data.csv,liblinear,l2,10,1000,0.25,0.8768449809817465
2,silvics_edited_data.csv,liblinear,l2,10,1000,0.1,0.8991780495982178
3,silvics_edited_data.csv,liblinear,l2,10,2000,0.5,0.8643649276313857
4,silvics_edited_data.csv,liblinear,l2,10,2000,0.25,0.8895445567682788
5,silvics_edited_data.csv,liblinear,l2,10,2000,0.1,0.8991780495982178
6,silvics_edited_data.csv,liblinear,l2,10,5000,0.5,0.8756402363880069
7,silvics_edited_data.csv,liblinear,l2,10,5000,0.25,0.8876790253898139
8,silvics_edited_data.csv,liblinear,l2,10,5000,0.1,0.8991780495982178
9,silvics_edited_data.csv,lbfgs,l2,10,1000,0.5,0.8590345668387205
10,silvics_edited_data.csv,lbfgs,l2,10,1000,0.25,0.8705032251815427
11,silvics_edited_data.csv,lbfgs,l2,10,1000,0.1,0.8993160071045961
12,silvics_edited_data.csv,lbfgs,l2,10,2000,0.5,0.8645141724154481
13,silvics_edited_data.csv,lbfgs,l2,10,2000,0.25,0.8876367212485567
14,silvics_edited_data.csv,lbfgs,l2,10,2000,0.1,0.9043796992481203
15,silvics_edited_data.csv,lbfgs,l2,10,5000,0.5,0.8662909735784483
16,silvics_edited_data.csv,lbfgs,l2,10,5000,0.25,0.880914720728315
17,silvics_edited_data.csv,lbfgs,l2,10,5000,0.1,0.8944917440660476
18,silvics_edited_data.csv,liblinear,l2,19,1000,0.5,0.7626537458144474
19,silvics_edited_data.csv,liblinear,l2,19,1000,0.25,0.7796500522140143
20,silvics_edited_data.csv,liblinear,l2,19,1000,0.1,0.721202571937866
21,silvics_edited_data.csv,liblinear,l2,19,2000,0.5,0.7755684791035341
22,silvics_edited_data.csv,liblinear,l2,19,2000,0.25,0.7763262665112589
23,silvics_edited_data.csv,liblinear,l2,19,2000,0.1,0.684392319381559
24,silvics_edited_data.csv,liblinear,l2,19,5000,0.5,0.7676525415232835
25,silvics_edited_data.csv,liblinear,l2,19,5000,0.25,0.7900550134735446
26,silvics_edited_data.csv,liblinear,l2,19,5000,0.1,0.703841460826755
27,silvics_edited_data.csv,lbfgs,l2,19,1000,0.5,0.7813436366140619
28,silvics_edited_data.csv,lbfgs,l2,19,1000,0.25,0.7928528484751962
29,silvics_edited_data.csv,lbfgs,l2,19,1000,0.1,0.7618810655575361
30,silvics_edited_data.csv,lbfgs,l2,19,2000,0.5,0.7871024011817062
31,silvics_edited_data.csv,lbfgs,l2,19,2000,0.25,0.8038111415368454
32,silvics_edited_data.csv,lbfgs,l2,19,2000,0.1,0.7709031331659416
