,file,solver,penalty,num_categories,max_features,test_set,test_f1_macro,accuracy
0,silvics_edited_data_sents.csv,liblinear,l2,10,1000,0.5,0.5623521475754357,0.6933959230917626
1,silvics_edited_data_sents.csv,liblinear,l2,10,1000,0.25,0.5693097682032606,0.7002314814814815
2,silvics_edited_data_sents.csv,liblinear,l2,10,1000,0.1,0.5843701689600657,0.7084538733526198
3,silvics_edited_data_sents.csv,liblinear,l2,10,2000,0.5,0.5807670111410552,0.7093434505819561
4,silvics_edited_data_sents.csv,liblinear,l2,10,2000,0.25,0.5962969784451964,0.7196502057613169
5,silvics_edited_data_sents.csv,liblinear,l2,10,2000,0.1,0.6162521888391211,0.7312761170041787
6,silvics_edited_data_sents.csv,liblinear,l2,10,5000,0.5,0.5803478495387384,0.7128158960838531
7,silvics_edited_data_sents.csv,liblinear,l2,10,5000,0.25,0.6061796289081259,0.7291666666666666
8,silvics_edited_data_sents.csv,liblinear,l2,10,5000,0.1,0.6235109515716994,0.7389906782385085
9,silvics_edited_data_sents.csv,lbfgs,l2,10,1000,0.5,0.5807165868307294,0.7002122050028937
10,silvics_edited_data_sents.csv,lbfgs,l2,10,1000,0.25,0.5904872365737142,0.7075617283950617
11,silvics_edited_data_sents.csv,lbfgs,l2,10,1000,0.1,0.6074880706486997,0.7139183542269367
12,silvics_edited_data_sents.csv,lbfgs,l2,10,2000,0.5,0.601736646016634,0.7167384734100701
13,silvics_edited_data_sents.csv,lbfgs,l2,10,2000,0.25,0.6171003422165569,0.7244084362139918
14,silvics_edited_data_sents.csv,lbfgs,l2,10,2000,0.1,0.6313403443397057,0.73224043715847
15,silvics_edited_data_sents.csv,lbfgs,l2,10,5000,0.5,0.6030536603451997,0.7223329689409042
16,silvics_edited_data_sents.csv,lbfgs,l2,10,5000,0.25,0.624659688202143,0.7344393004115226
17,silvics_edited_data_sents.csv,lbfgs,l2,10,5000,0.1,0.6496139819308009,0.7489553198328511
18,silvics_edited_data_sents.csv,liblinear,l2,19,1000,0.5,0.4994756272073831,0.6770167049618083
19,silvics_edited_data_sents.csv,liblinear,l2,19,1000,0.25,0.5192715761717765,0.684923000496771
20,silvics_edited_data_sents.csv,liblinear,l2,19,1000,0.1,0.5273933419770592,0.6864327848494256
21,silvics_edited_data_sents.csv,liblinear,l2,19,2000,0.5,0.5205108839362403,0.6934732658510836
22,silvics_edited_data_sents.csv,liblinear,l2,19,2000,0.25,0.5492712525516926,0.7067809239940388
23,silvics_edited_data_sents.csv,liblinear,l2,19,2000,0.1,0.5441527219526711,0.7028873020800993
24,silvics_edited_data_sents.csv,liblinear,l2,19,5000,0.5,0.5205751886907639,0.6964540768800844
25,silvics_edited_data_sents.csv,liblinear,l2,19,5000,0.25,0.553259425319897,0.7106308991554893
26,silvics_edited_data_sents.csv,liblinear,l2,19,5000,0.1,0.5590030390631691,0.7134430301148712
27,silvics_edited_data_sents.csv,lbfgs,l2,19,1000,0.5,0.518244641478642,0.683413028628206
28,silvics_edited_data_sents.csv,lbfgs,l2,19,1000,0.25,0.5471128401546433,0.6920019870839543
29,silvics_edited_data_sents.csv,lbfgs,l2,19,1000,0.1,0.5545637976887967,0.6932629618131015
